
               R2   RMSLE    MAPE  TT (Sec)  
llar      -0.0016  0.2727  0.2578    0.5667  
dummy     -0.0016  0.2727  0.2578    0.4233  
br        -0.0042  0.2731  0.2583    0.5167  
omp       -0.0054  0.2731  0.2586    0.5900  
lasso     -0.0063  0.2733  0.2588    1.2367  
lr        -0.0064  0.2733  0.2590    2.0200  
ridge     -0.0064  0.2733  0.2590    1.0333  
en        -0.0064  0.2733  0.2589    0.5100  
lar       -0.0064  0.2733  0.2590    0.6267  
ada       -0.0210  0.2742  0.2604    0.5867  
gbr       -0.0698  0.2799  0.2665    0.8633  
rf        -0.0944  0.2820  0.2678    0.8333  
et        -0.1097  0.2835  0.2708    0.7133  
lightgbm  -0.1897  0.2912  0.2759    0.4033  
huber     -0.1929  0.2918  0.2768    0.5033  
knn       -0.2116  0.2942  0.2785    0.5600  
xgboost   -0.2981  0.3018  0.2858    1.8600  
dt        -1.1821  0.4041  0.3694    0.5200  
par      -13.7540  0.8945  0.8439    0.5367  
